url_from,url_to
https://www.anandabazar.com/,https://www.anandabazar.com/calcutta/a-seminar-by-calcutta-research-centre-on-effects-of-populist-politics-in-india-and-south-asia-dgtl-1.1040528
https://www.anandabazar.com/,https://www.anandabazar.com/others/science/first-de-orbiting-maneuver-for-chandrayaan-2-spacecraft-was-performed-successfully-dgtl-1.1040584
https://www.anandabazar.com/,https://www.anandabazar.com/horoscope/monthly
https://www.anandabazar.com/,https://www.anandabazar.com/photogallery/national/mysterious-stambheswar-temple-disappears-everyday-dgtl-1.1040408
https://www.anandabazar.com/,https://www.anandabazar.com/photogallery/entertainment/smita-patil-transformed-into-a-magnetic-presence-that-every-actor-strives-hard-for-dgtl-1.1040471
https://www.anandabazar.com/,https://www.anandabazar.com/lifestyle/few-lesser-known-health-benefits-of-yogurt-dgtl-1.1040603
https://www.anandabazar.com/,https://www.anandabazar.com/state/governor-called-dgp-over-barrackpore-unrest-spoke-about-an-hour-with-dgp-dgtl-1.1040468
https://www.anandabazar.com/,https://www.anandabazar.com/photogallery/sport/reasons-behind-india-s-win-against-west-indies-in-test-series-dgtl-1.1040390
https://www.anandabazar.com/,https://www.anandabazar.com/photogallery/entertainment/bollywood-and-tollywood-celebrate-ganesh-chaturthi-2019-dgtl-1.1040505
https://www.anandabazar.com/,https://www.anandabazar.com/photogallery/business/ganesh-chaturthi-celebration-at-mukesh-ambani-house-antilia-dgtl-1.1040375
https://www.anandabazar.com/,https://www.anandabazar.com/sport/steve-smith-is-back-in-twelve-men-squad-for-fourth-test-in-ashes-dgtl-1.1040427
https://www.anandabazar.com/,https://www.anandabazar.com/national/us-woman-abuses-assaults-pune-doctor-for-wearing-burqa-dgtl-1.1040571
https://www.anandabazar.com/,https://www.anandabazar.com/national/8-apache-ah-64e-helicopters-inducted-into-indian-air-force-dgtl-1.1040463
https://www.anandabazar.com/,https://www.anandabazar.com/national/former-chhattisgarh-cm-ajit-jogi-s-son-amit-jogi-arrested-in-forgery-case-dgtl-1.1040461
https://www.anandabazar.com/,https://www.anandabazar.com/national/narendra-modi-apologised-suddenly-people-are-speculating-over-the-reason-1.1040186
https://www.anandabazar.com/,https://www.anandabazar.com/state/state-politics-is-heating-up-over-barrackpore-governor-comments-on-violence-1.1040263
https://www.anandabazar.com/,https://www.anandabazar.com/editorial/situation-of-barrackpore-is-deteriorating-and-administration-is-trying-to-hush-it-up-dgtl-1.1040150
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/write-for-us/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/do-it-yourself/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/technology/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/web-technology/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/data-science/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/software-science/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/mathematics/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/personal-projects/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/author/writer_shubham/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/nl/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/zh/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/2018/07/16/should-you-start-learning-python-in-2018-guide/
https://www.data-blogger.com/author/writer_shubham/,https://www.addtoany.com/add_to/flipboard?linkname=Should+you+Start+Learning+Python+in+2018+%28Guide%29&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F07%2F16%2Fshould-you-start-learning-python-in-2018-guide%2F
https://www.data-blogger.com/author/writer_shubham/,https://www.addtoany.com/add_to/linkedin?linkname=Should+you+Start+Learning+Python+in+2018+%28Guide%29&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F07%2F16%2Fshould-you-start-learning-python-in-2018-guide%2F
https://www.data-blogger.com/author/writer_shubham/,https://www.addtoany.com/add_to/twitter?linkname=Should+you+Start+Learning+Python+in+2018+%28Guide%29&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F07%2F16%2Fshould-you-start-learning-python-in-2018-guide%2F
https://www.data-blogger.com/author/writer_shubham/,https://www.addtoany.com/add_to/copy_link?linkname=Should+you+Start+Learning+Python+in+2018+%28Guide%29&linkurl=https%3A%2F%2Fwww.data-blogger.com%2F2018%2F07%2F16%2Fshould-you-start-learning-python-in-2018-guide%2F
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/2018/02/15/creating-neural-networks-chainer/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/services/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/book-review/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/cryptocurrencies/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/security/
https://www.data-blogger.com/author/writer_shubham/,https://www.data-blogger.com/category/uncategorized/
https://www.anandabazar.com/supplementary/patrika,https://www.anandabazar.com/
https://www.anandabazar.com/supplementary/pustokporichoi,https://www.anandabazar.com/
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/lifestyle
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/women
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/travel
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/recipes
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/horoscope
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/horoscope/birthday
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/darshan/reply-from-soothsayer-dgtl-1.471262
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/horoscope/articles
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/auspicious-days
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/supplementary/rabibashoriyo
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/supplementary/patrika
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/supplementary/kolkatakorcha
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/supplementary/pustokporichoi
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/leisure
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/leisure/quiz
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/facts
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/video/science
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/others/comics
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/entertainment/smita-patil-transformed-into-a-magnetic-presence-that-every-actor-strives-hard-for-dgtl-1.1040471
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/national/have-a-look-inside-the-garvi-gujarat-bhavan-of-delhi-which-narendra-modi-inaugurates-dgtl-1.1040448
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/national/mysterious-stambheswar-temple-disappears-everyday-dgtl-1.1040408
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/sport/reasons-behind-india-s-win-against-west-indies-in-test-series-dgtl-1.1040390
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/business/ganesh-chaturthi-celebration-at-mukesh-ambani-house-antilia-dgtl-1.1040375
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/international/tokyo-ranked-safest-city-on-earth-dgtl-1.1040030
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/international/animals-that-have-gone-extinct-so-many-years-ago-dgtl-1.1039922
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/entertainment/maurice-koechlin-who-is-kalki-s-great-grandfather-made-eiffel-tower-and-statue-of-liberty-dgtl-1.1039933
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/national/shweta-ratanpura-wins-medal-at-world-skills-as-the-first-indian-female-dgtl-1.1039906
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/sport/jasprit-bumrah-became-the-quickest-indian-pacer-to-reach-fifty-wicket-mark-in-test-cricket-dgtl-1.1039882
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/international/treasure-hunter-couple-find-one-of-uk-s-largest-ever-treasure-hoards-dgtl-1.1039859
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/national/delhi-engineer-turns-farmer-earns-rs-40-000-every-day-from-organic-farming-dgtl-1.1039832
https://www.anandabazar.com/photogallery,https://www.anandabazar.com/photogallery/international/deadliest-animals-of-amazon-dgtl-1.1039514
https://www.anandabazar.com/,https://www.anandabazar.com/state/deadbodies-changed-in-morgue-creates-controversy-in-midnapore-1.1040149
https://www.anandabazar.com/,https://www.anandabazar.com/state/why-mamata-is-giving-safeguard-to-rajiv-kumar-cbi-asks-in-court-1.1040273
https://www.anandabazar.com/,https://www.anandabazar.com/international/afghanistan-s-vice-president-candidate-amrullah-saleh-accuse-pakistan-of-aiding-is-dgtl-1.1040564
https://www.anandabazar.com/,https://www.anandabazar.com/international/narendra-modi-will-visit-vladimir-putin-on-4th-september-1.1040347
https://www.anandabazar.com/,https://www.anandabazar.com/international/india-and-pakistan-are-in-conflict-with-kulbhushan-s-consular-access-1.1040236
https://www.anandabazar.com/,https://www.anandabazar.com/international/former-afghan-spy-amrullah-saleh-all-set-to-become-next-vice-president-dgtl-1.1040572
https://www.anandabazar.com/,https://www.anandabazar.com/editorial/question-arises-on-cbi-s-hyperactivity-and-silence-in-different-cases-1.1040208
https://www.anandabazar.com/,https://www.anandabazar.com/editorial/when-country-sets-the-test-of-citizenship-for-all-resident-1.1040154
https://www.anandabazar.com/,https://www.anandabazar.com/editorial/center-s-ego-pulling-the-indian-economy-in-downward-1.1040156
https://www.anandabazar.com/,https://www.anandabazar.com/editorial/unrest-situation-in-barrackpore-area-turmoiled-many-families-and-lives-1.1040155
https://www.anandabazar.com/,https://www.anandabazar.com/calcutta/stf-busted-jmb-north-dinajpur-module-picked-up-two-dgtl-1.1040544
https://www.anandabazar.com/,https://www.anandabazar.com/calcutta/question-arises-if-kolkata-metro-has-properly-checked-the-durability-of-a-home-before-tunnel-boring-1.1040247
https://www.anandabazar.com/,https://www.anandabazar.com/calcutta/landslide-affected-residents-want-written-assurance-from-mamata-banerjee-1.1040297
https://www.anandabazar.com/,https://www.anandabazar.com/calcutta/kolkata-metro-depending-on-tunnel-expert-to-stop-the-water-leakage-from-aquifer-1.1040307
https://www.anandabazar.com/,https://www.anandabazar.com/sport/seven-footballers-from-bengal-signed-for-new-i-league-club-trau-dgtl-1.1040590
